state,country,location_id
Andaman And Nicobar Islands,India,1
Andhra Pradesh,India,2
Arunachal Pradesh,India,3
Assam,India,4
Bihar,India,5
Chandigarh,India,6
Chhattisgarh,India,7
Delhi,India,8
Gujarat,India,9
Haryana,India,10
Himachal Pradesh,India,11
Jammu And Kashmir,India,12
Jharkhand,India,13
Karnataka,India,14
Kerala,India,15
Ladakh,India,16
Lakshadweep,India,17
Madhya Pradesh,India,18
Maharashtra,India,19
Manipur,India,20
Meghalaya,India,21
Mizoram,India,22
Nagaland,India,23
Odisha,India,24
Puducherry,India,25
Punjab,India,26
Rajasthan,India,27
Sikkim,India,28
Tamil Nadu,India,29
Telangana,India,30
The Dadra And Nagar Haveli And Daman And Diu,India,31
Tripura,India,32
Uttar Pradesh,India,33
Uttarakhand,India,34
West Bengal,India,35
